t,S_as_x,S_as_y,S_as_z,S_as_vx,S_as_vy,S_as_vz,S_meas_x,S_meas_y,S_meas_z,S_meas_vx,S_meas_vy,S_meas_vz,T_x,T_y,T_z,T_vx,T_vy,T_vz,dist_ue,mode,rdot
0.000,0.253,-0.011,-0.698,0.017,-0.001,0.014,0.253,-0.011,-0.698,-0.983,-1.001,0.014,20.018,-0.001,-0.199,0.000,0.000,0.000,19.822,PURSUIT,-0.018
0.055,0.254,-0.011,-0.697,0.012,-0.000,0.033,0.254,-0.011,-0.697,-0.988,-1.000,0.033,20.028,-0.001,-0.222,0.091,0.001,-0.207,19.829,PURSUIT,0.073
0.108,0.254,-0.011,-0.693,0.018,-0.004,0.160,0.254,-0.011,-0.693,-0.982,-1.004,0.160,20.052,0.001,-0.259,0.269,0.019,-0.445,19.850,PURSUIT,0.238
0.161,0.257,-0.012,-0.687,0.109,-0.034,0.003,0.257,-0.012,-0.687,-0.891,-1.034,0.003,20.082,0.005,-0.296,0.419,0.046,-0.575,19.873,PURSUIT,0.299
0.213,0.268,-0.015,-0.694,0.316,-0.052,-0.251,0.268,-0.015,-0.694,-0.684,-1.052,-0.251,20.145,0.015,-0.362,0.808,0.118,-0.919,19.922,PURSUIT,0.481
0.268,0.293,-0.018,-0.715,0.617,-0.057,-0.531,0.293,-0.018,-0.715,-0.383,-1.057,-0.531,20.219,0.029,-0.431,1.084,0.181,-1.086,19.971,PURSUIT,0.460
0.322,0.336,-0.021,-0.751,0.977,-0.054,-0.801,0.336,-0.021,-0.751,-0.023,-1.054,-0.801,20.326,0.049,-0.520,1.537,0.283,-1.370,20.031,PURSUIT,0.555
0.376,0.399,-0.023,-0.801,1.376,-0.044,-1.059,0.399,-0.023,-0.801,0.376,-1.044,-1.059,20.451,0.075,-0.615,1.913,0.377,-1.558,20.091,PURSUIT,0.534
0.430,0.485,-0.025,-0.865,1.801,-0.031,-1.304,0.485,-0.025,-0.865,0.801,-1.031,-1.304,20.609,0.109,-0.727,2.427,0.506,-1.826,20.157,PURSUIT,0.626
0.484,0.594,-0.027,-0.942,2.243,-0.015,-1.539,0.594,-0.027,-0.942,1.243,-1.015,-1.539,20.784,0.148,-0.845,2.848,0.621,-2.010,20.220,PURSUIT,0.609
0.542,0.735,-0.027,-1.037,2.720,0.004,-1.778,0.735,-0.027,-1.037,1.720,-0.996,-1.778,20.994,0.198,-0.978,3.216,0.731,-2.147,20.287,PURSUIT,0.503
0.595,0.895,-0.026,-1.139,3.180,0.025,-1.998,0.895,-0.026,-1.139,2.180,-0.975,-1.998,21.216,0.252,-1.114,3.720,0.881,-2.364,20.350,PURSUIT,0.552
0.648,1.079,-0.024,-1.252,3.642,0.048,-2.211,1.079,-0.024,-1.252,2.642,-0.952,-2.211,21.433,0.307,-1.242,3.915,0.961,-2.395,20.403,PURSUIT,0.288
0.702,1.288,-0.021,-1.377,4.103,0.072,-2.416,1.288,-0.021,-1.377,3.103,-0.928,-2.416,21.697,0.376,-1.394,4.393,1.122,-2.597,20.460,PURSUIT,0.310
0.756,1.522,-0.016,-1.513,4.562,0.098,-2.611,1.522,-0.016,-1.513,3.562,-0.902,-2.611,21.964,0.450,-1.544,4.659,1.237,-2.679,20.470,PURSUIT,0.122
0.811,1.780,-0.010,-1.659,5.015,0.126,-2.792,1.780,-0.010,-1.659,4.015,-0.874,-2.792,22.299,0.546,-1.727,5.392,1.499,-3.021,20.561,PURSUIT,0.415
0.864,2.063,-0.003,-1.815,5.464,0.156,-2.967,2.063,-0.003,-1.815,4.464,-0.844,-2.967,22.600,0.637,-1.890,5.500,1.594,-3.022,20.599,PURSUIT,0.081
0.918,2.370,0.006,-1.979,5.906,0.188,-3.127,2.370,0.006,-1.979,4.906,-0.812,-3.127,22.934,0.742,-2.067,5.859,1.776,-3.162,20.631,PURSUIT,0.010
0.972,2.701,0.018,-2.152,6.339,0.222,-3.274,2.701,0.018,-2.152,5.339,-0.778,-3.274,23.262,0.850,-2.239,5.987,1.896,-3.184,20.654,PURSUIT,-0.284
1.025,3.035,0.030,-2.322,6.739,0.255,-3.398,3.035,0.030,-2.322,5.739,-0.745,-3.398,23.623,0.974,-2.426,6.348,2.106,-3.331,20.668,PURSUIT,-0.306
1.080,3.431,0.045,-2.519,7.154,0.297,-3.485,3.431,0.045,-2.519,6.154,-0.703,-3.485,24.058,1.133,-2.649,7.152,2.500,-3.707,20.674,PURSUIT,0.115
1.132,3.805,0.062,-2.699,7.527,0.348,-3.567,3.805,0.062,-2.699,6.527,-0.652,-3.567,24.420,1.271,-2.834,7.056,2.583,-3.623,20.669,PURSUIT,-0.339
1.187,4.222,0.082,-2.893,7.913,0.406,-3.639,4.222,0.082,-2.893,6.913,-0.594,-3.639,24.790,1.420,-3.021,6.915,2.651,-3.522,20.654,PURSUIT,-0.851
1.242,4.659,0.106,-3.091,8.280,0.463,-3.681,4.659,0.106,-3.091,7.280,-0.537,-3.681,25.235,1.608,-3.244,7.523,3.045,-3.802,20.623,PURSUIT,-0.567
1.294,5.116,0.132,-3.290,8.618,0.526,-3.684,5.116,0.132,-3.290,7.618,-0.474,-3.684,25.574,1.759,-3.413,6.973,2.949,-3.505,20.592,PURSUIT,-1.449
1.349,5.590,0.162,-3.489,8.939,0.599,-3.689,5.590,0.162,-3.489,7.939,-0.401,-3.689,26.008,1.961,-3.629,7.458,3.326,-3.726,20.542,PURSUIT,-1.235
1.403,6.081,0.197,-3.689,9.257,0.686,-3.720,6.081,0.197,-3.689,8.257,-0.314,-3.720,26.424,2.166,-3.835,7.598,3.566,-3.777,20.483,PURSUIT,-1.374
1.457,6.589,0.237,-3.890,9.547,0.775,-3.729,6.589,0.237,-3.890,8.547,-0.225,-3.729,26.819,2.370,-4.030,7.412,3.654,-3.671,20.332,PURSUIT,-1.822
1.511,7.112,0.281,-4.091,9.817,0.871,-3.740,7.112,0.281,-4.091,8.817,-0.129,-3.740,27.239,2.599,-4.236,7.650,3.978,-3.776,20.249,PURSUIT,-1.796
1.563,7.649,0.331,-4.294,10.074,0.975,-3.760,7.649,0.331,-4.294,9.074,-0.025,-3.760,27.706,2.869,-4.466,8.251,4.545,-4.063,20.234,PURSUIT,-1.357
1.619,8.199,0.386,-4.497,10.307,1.084,-3.756,8.199,0.386,-4.497,9.307,0.084,-3.756,28.124,3.125,-4.672,7.916,4.594,-3.899,20.129,PURSUIT,-1.890
1.673,8.762,0.448,-4.700,10.539,1.210,-3.771,8.762,0.448,-4.700,9.539,0.210,-3.771,28.493,3.364,-4.855,7.332,4.478,-3.625,20.026,PURSUIT,-2.695
1.726,9.337,0.517,-4.903,10.748,1.336,-3.763,9.337,0.517,-4.903,9.748,0.336,-3.763,28.926,3.660,-5.073,7.730,5.019,-3.857,19.889,PURSUIT,-2.395
1.780,9.922,0.593,-5.106,10.943,1.469,-3.768,9.922,0.593,-5.106,9.943,0.469,-3.768,29.350,3.969,-5.291,7.816,5.392,-3.960,19.736,PURSUIT,-2.407
1.835,10.518,0.676,-5.310,11.123,1.607,-3.764,10.518,0.676,-5.310,10.123,0.607,-3.764,29.742,4.274,-5.499,7.492,5.487,-3.879,19.575,PURSUIT,-2.853
1.890,11.157,0.771,-5.524,11.288,1.758,-3.743,11.157,0.771,-5.524,10.288,0.758,-3.743,30.102,4.573,-5.696,7.001,5.448,-3.729,19.407,PURSUIT,-3.478
1.944,11.771,0.871,-5.726,11.442,1.925,-3.764,11.771,0.871,-5.726,10.442,0.925,-3.764,30.468,4.899,-5.908,6.912,5.762,-3.832,19.212,PURSUIT,-3.618
1.998,12.393,0.979,-5.930,11.583,2.098,-3.787,12.393,0.979,-5.930,10.583,1.098,-3.787,30.818,5.235,-6.122,6.655,5.955,-3.879,18.997,PURSUIT,-3.933
2.052,13.021,1.097,-6.135,11.709,2.273,-3.793,13.021,1.097,-6.135,10.709,1.273,-3.793,31.185,5.620,-6.365,6.745,6.554,-4.204,18.734,PURSUIT,-3.777
2.104,13.621,1.218,-6.328,11.816,2.445,-3.798,13.621,1.218,-6.328,10.816,1.445,-3.798,31.478,5.953,-6.575,6.181,6.470,-4.108,18.490,PURSUIT,-4.411
2.163,14.298,1.362,-6.544,11.917,2.639,-3.776,14.298,1.362,-6.544,10.917,1.639,-3.776,31.771,6.312,-6.799,5.608,6.324,-3.978,18.212,PURSUIT,-5.062
2.216,14.944,1.510,-6.748,12.006,2.852,-3.794,14.944,1.510,-6.748,11.006,1.852,-3.794,32.030,6.656,-7.011,5.219,6.361,-3.964,17.823,PURSUIT,-5.484
2.268,15.594,1.670,-6.953,12.084,3.069,-3.804,15.594,1.670,-6.953,11.084,2.069,-3.804,32.287,7.023,-7.236,5.065,6.696,-4.137,17.618,PURSUIT,-5.570
2.322,16.249,1.842,-7.159,12.148,3.287,-3.802,16.249,1.842,-7.159,11.148,2.287,-3.802,32.513,7.373,-7.449,4.632,6.602,-4.051,17.305,PURSUIT,-6.044
2.375,16.869,2.015,-7.352,12.198,3.499,-3.795,16.869,2.015,-7.352,11.198,2.499,-3.795,32.734,7.745,-7.675,4.410,6.827,-4.167,16.843,PURSUIT,-6.186
2.431,17.566,2.221,-7.568,12.237,3.734,-3.758,17.566,2.221,-7.568,11.237,2.734,-3.758,32.957,8.159,-7.927,4.213,7.135,-4.343,16.547,PURSUIT,-6.248
2.484,18.227,2.429,-7.770,12.261,3.989,-3.761,18.227,2.429,-7.770,11.261,2.989,-3.761,33.139,8.532,-8.152,3.804,7.039,-4.270,16.162,PURSUIT,-6.658
2.538,18.853,2.639,-7.962,12.274,4.228,-3.752,18.853,2.639,-7.962,11.274,3.228,-3.752,33.297,8.883,-8.361,3.373,6.790,-4.079,15.786,PURSUIT,-7.144
2.593,19.553,2.887,-8.175,12.275,4.497,-3.731,19.553,2.887,-8.175,11.275,3.497,-3.731,33.458,9.274,-8.588,3.156,6.971,-4.121,15.352,PURSUIT,-7.241
2.647,20.216,3.137,-8.376,12.263,4.757,-3.708,20.216,3.137,-8.376,11.263,3.757,-3.708,33.588,9.622,-8.787,2.763,6.668,-3.877,14.951,PURSUIT,-7.707
2.703,20.877,3.401,-8.575,12.239,5.012,-3.658,20.877,3.401,-8.575,11.239,4.012,-3.658,33.717,10.009,-9.004,2.538,6.801,-3.882,14.490,PURSUIT,-7.797
2.757,21.537,3.679,-8.772,12.197,5.299,-3.644,21.537,3.679,-8.772,11.197,4.299,-3.644,33.812,10.331,-9.181,2.158,6.405,-3.596,14.092,PURSUIT,-8.297
2.811,22.231,3.990,-8.978,12.141,5.598,-3.611,22.231,3.990,-8.978,11.141,4.598,-3.611,33.910,10.711,-9.387,1.976,6.674,-3.678,13.488,PURSUIT,-8.268
2.864,22.848,4.282,-9.162,12.079,5.868,-3.577,22.848,4.282,-9.162,11.079,4.868,-3.577,33.988,11.067,-9.576,1.724,6.711,-3.632,13.135,PURSUIT,-8.399
2.919,23.535,4.625,-9.364,11.996,6.178,-3.542,23.535,4.625,-9.364,10.996,5.178,-3.542,34.060,11.477,-9.790,1.513,7.069,-3.751,12.572,PURSUIT,-8.287
2.975,24.180,4.966,-9.554,11.901,6.463,-3.488,24.180,4.966,-9.554,10.901,5.463,-3.488,34.096,11.747,-9.928,1.087,5.957,-3.115,11.989,PURSUIT,-9.220
3.028,24.819,5.324,-9.741,11.775,6.769,-3.462,24.819,5.324,-9.741,10.775,5.769,-3.462,34.131,12.090,-10.100,0.869,6.230,-3.194,11.528,PURSUIT,-9.143
3.081,25.417,5.676,-9.917,11.645,7.040,-3.410,25.417,5.676,-9.917,10.645,6.040,-3.410,34.151,12.428,-10.267,0.622,6.320,-3.179,11.019,PURSUIT,-9.164
3.133,26.041,6.064,-10.100,11.465,7.330,-3.386,26.041,6.064,-10.100,10.465,6.330,-3.386,34.155,12.815,-10.455,0.355,6.836,-3.369,10.576,PURSUIT,-8.853
3.186,26.620,6.444,-10.272,11.252,7.594,-3.379,26.620,6.444,-10.272,10.252,6.594,-3.379,34.147,13.070,-10.576,0.101,5.829,-2.833,10.012,PURSUIT,-9.549
3.240,27.221,6.861,-10.455,10.978,7.850,-3.386,27.221,6.861,-10.455,9.978,6.850,-3.386,34.119,13.444,-10.751,-0.213,6.371,-3.032,9.561,PURSUIT,-9.123
3.295,27.837,7.316,-10.649,10.620,8.092,-3.454,27.837,7.316,-10.649,9.620,7.092,-3.454,34.076,13.776,-10.903,-0.498,6.221,-2.906,9.012,PURSUIT,-9.081
3.348,28.369,7.733,-10.828,10.255,8.282,-3.553,28.369,7.733,-10.828,9.255,7.282,-3.553,34.027,14.051,-11.026,-0.710,5.710,-2.622,8.556,PURSUIT,-9.250
3.402,28.942,8.211,-11.034,9.824,8.454,-3.675,28.942,8.211,-11.034,8.824,7.454,-3.675,33.955,14.370,-11.167,-1.018,5.771,-2.597,8.025,CAPTURE,-8.941
3.457,29.461,8.670,-11.235,9.413,8.563,-3.783,29.461,8.670,-11.235,8.413,7.563,-3.783,33.876,14.649,-11.288,-1.226,5.437,-2.401,7.564,CAPTURE,-8.845
3.513,29.960,9.134,-11.439,9.080,8.622,-3.760,29.960,9.134,-11.439,8.080,7.622,-3.760,33.773,14.953,-11.417,-1.537,5.455,-2.358,7.066,CAPTURE,-8.464
3.566,30.441,9.603,-11.642,8.728,8.763,-3.766,30.441,9.603,-11.642,7.728,7.763,-3.766,33.655,15.250,-11.539,-1.872,5.490,-2.319,6.590,CAPTURE,-8.064
3.622,30.929,10.108,-11.855,8.393,8.947,-3.715,30.929,10.108,-11.855,7.393,7.947,-3.715,33.528,15.524,-11.649,-2.084,5.222,-2.154,6.159,CAPTURE,-7.833
3.676,31.374,10.596,-12.054,8.092,9.123,-3.646,31.374,10.596,-12.054,7.092,8.123,-3.646,33.395,15.775,-11.747,-2.255,4.913,-1.977,5.681,CAPTURE,-7.579
3.730,31.803,11.093,-12.249,7.800,9.280,-3.565,31.803,11.093,-12.249,6.800,8.280,-3.565,33.233,16.049,-11.851,-2.643,5.004,-1.953,5.374,CAPTURE,-6.857
3.786,32.217,11.597,-12.439,7.504,9.403,-3.492,32.217,11.597,-12.439,6.504,8.403,-3.492,33.055,16.314,-11.948,-2.920,4.884,-1.844,5.018,CAPTURE,-6.071
3.840,32.613,12.108,-12.627,7.152,9.496,-3.505,32.613,12.108,-12.627,6.152,8.496,-3.505,32.872,16.558,-12.032,-3.155,4.705,-1.711,4.734,CAPTURE,-5.098
3.892,32.989,12.622,-12.818,6.781,9.559,-3.547,32.989,12.622,-12.818,5.781,8.559,-3.547,32.676,16.794,-12.111,-3.451,4.609,-1.607,4.518,CAPTURE,-3.789
3.945,33.326,13.111,-13.000,6.423,9.580,-3.597,33.326,13.111,-13.000,5.423,8.580,-3.597,32.503,16.984,-12.172,-3.369,4.113,-1.378,4.345,CAPTURE,-2.788
3.997,33.662,13.628,-13.196,6.021,9.561,-3.684,33.662,13.628,-13.196,5.021,8.561,-3.684,32.295,17.194,-12.235,-3.653,4.046,-1.288,4.294,CAPTURE,-1.052
4.052,33.977,14.142,-13.397,5.638,9.494,-3.742,33.977,14.142,-13.397,4.638,8.494,-3.742,32.023,17.444,-12.305,-4.317,4.305,-1.283,4.370,CAPTURE,1.255
4.107,34.270,14.652,-13.601,5.206,9.356,-3.873,34.270,14.652,-13.601,4.206,8.356,-3.873,31.790,17.638,-12.355,-4.292,3.930,-1.098,4.490,CAPTURE,2.653
4.160,34.539,15.152,-13.815,4.759,9.182,-4.028,34.539,15.152,-13.815,3.759,8.182,-4.028,31.515,17.847,-12.404,-4.723,3.929,-1.009,4.714,CAPTURE,4.377
4.213,34.785,15.643,-14.035,4.353,8.999,-4.122,34.785,15.643,-14.035,3.353,7.999,-4.122,31.273,18.017,-12.439,-4.658,3.570,-0.842,4.965,CAPTURE,5.298
4.266,34.998,16.097,-14.247,3.976,8.796,-4.203,34.998,16.097,-14.247,2.976,7.796,-4.203,30.989,18.200,-12.473,-4.975,3.490,-0.735,5.304,CAPTURE,6.352
4.322,35.213,16.591,-14.488,3.581,8.538,-4.259,35.213,16.591,-14.488,2.581,7.538,-4.259,30.692,18.375,-12.500,-5.130,3.306,-0.609,5.691,CAPTURE,7.104
4.376,35.396,17.044,-14.720,3.187,8.227,-4.345,35.396,17.044,-14.720,2.187,7.227,-4.345,30.383,18.543,-12.520,-5.443,3.213,-0.494,6.116,CAPTURE,7.791
4.429,35.558,17.480,-14.957,2.800,7.891,-4.423,35.558,17.480,-14.957,1.800,6.891,-4.423,30.079,18.694,-12.533,-5.570,3.025,-0.371,6.545,CAPTURE,8.142
4.482,35.691,17.874,-15.184,2.445,7.550,-4.486,35.691,17.874,-15.184,1.445,6.550,-4.486,29.728,18.854,-12.541,-6.151,3.047,-0.260,7.047,CAPTURE,8.795
4.535,35.813,18.271,-15.428,2.069,7.156,-4.554,35.813,18.271,-15.428,1.069,6.156,-4.554,29.401,18.990,-12.542,-6.112,2.792,-0.136,7.532,CAPTURE,8.781
4.591,35.920,18.666,-15.690,1.667,6.699,-4.636,35.920,18.666,-15.690,0.667,5.699,-4.636,29.044,19.127,-12.536,-6.290,2.633,-0.015,8.046,CAPTURE,8.895
4.643,35.996,18.997,-15.929,1.305,6.266,-4.715,35.996,18.997,-15.929,0.305,5.266,-4.715,28.655,19.263,-12.523,-6.840,2.603,0.119,8.556,CAPTURE,9.298
4.697,36.056,19.322,-16.185,0.922,5.795,-4.796,36.056,19.322,-16.185,-0.078,4.795,-4.796,28.252,19.390,-12.502,-7.168,2.484,0.255,9.102,CAPTURE,9.446
4.749,36.094,19.606,-16.432,0.571,5.353,-4.855,36.094,19.606,-16.432,-0.429,4.353,-4.855,27.904,19.490,-12.477,-6.947,2.213,0.363,9.563,CAPTURE,9.079
4.803,36.117,19.886,-16.692,0.308,5.009,-4.745,36.117,19.886,-16.692,-0.692,4.009,-4.745,27.481,19.602,-12.440,-7.413,2.149,0.526,10.111,CAPTURE,9.335
4.858,36.127,20.161,-16.958,0.038,4.656,-4.613,36.127,20.161,-16.958,-0.962,3.656,-4.613,27.094,19.695,-12.400,-7.183,1.913,0.628,10.601,PURSUIT,8.925
4.912,36.123,20.405,-17.202,-0.175,4.373,-4.419,36.123,20.405,-17.202,-1.175,3.373,-4.419,26.676,19.787,-12.350,-7.480,1.811,0.780,11.116,PURSUIT,9.008
4.966,36.108,20.620,-17.424,-0.408,4.069,-4.286,36.108,20.620,-17.424,-1.408,3.069,-4.286,26.275,19.867,-12.296,-7.477,1.648,0.885,11.598,PURSUIT,8.804
5.018,36.080,20.832,-17.651,-0.626,3.784,-4.099,36.080,20.832,-17.651,-1.626,2.784,-4.099,25.819,19.948,-12.231,-8.062,1.592,1.063,12.131,PURSUIT,9.127
5.072,36.042,21.030,-17.866,-0.809,3.542,-3.858,36.042,21.030,-17.866,-1.809,2.542,-3.858,25.405,20.013,-12.168,-7.884,1.401,1.117,12.601,PURSUIT,8.735
5.128,35.990,21.225,-18.078,-1.005,3.287,-3.607,35.990,21.225,-18.078,-2.005,2.287,-3.607,24.936,20.077,-12.094,-8.111,1.269,1.218,13.117,PURSUIT,8.694
5.182,35.931,21.396,-18.266,-1.177,3.062,-3.348,35.931,21.396,-18.266,-2.177,2.062,-3.348,24.463,20.131,-12.017,-8.466,1.142,1.327,13.623,PURSUIT,8.782
5.237,35.863,21.555,-18.440,-1.353,2.833,-3.097,35.863,21.555,-18.440,-2.353,1.833,-3.097,24.060,20.170,-11.950,-7.909,0.922,1.273,14.047,PURSUIT,8.004
5.289,35.789,21.694,-18.592,-1.527,2.609,-2.873,35.789,21.694,-18.592,-2.527,1.609,-2.873,23.554,20.208,-11.866,-8.755,0.824,1.438,14.547,PURSUIT,8.553
5.342,35.702,21.828,-18.741,-1.708,2.375,-2.634,35.702,21.828,-18.741,-2.708,1.375,-2.634,23.147,20.231,-11.797,-8.239,0.628,1.366,14.944,PURSUIT,7.797
5.397,35.604,21.950,-18.877,-1.907,2.120,-2.423,35.604,21.950,-18.877,-2.907,1.120,-2.423,22.635,20.249,-11.712,-8.747,0.481,1.455,15.419,PURSUIT,7.998
5.452,35.496,22.058,-19.002,-2.083,1.893,-2.178,35.496,22.058,-19.002,-3.083,0.893,-2.178,22.175,20.256,-11.636,-8.624,0.306,1.431,15.834,PURSUIT,7.605
5.505,35.379,22.154,-19.113,-2.260,1.663,-1.938,35.379,22.154,-19.113,-3.260,0.663,-1.938,21.714,20.255,-11.560,-8.604,0.136,1.417,16.233,PURSUIT,7.308
5.559,35.252,22.238,-19.211,-2.441,1.427,-1.708,35.252,22.238,-19.211,-3.441,0.427,-1.708,21.253,20.244,-11.486,-8.591,-0.033,1.400,16.616,PURSUIT,7.014
5.612,35.116,22.309,-19.297,-2.615,1.203,-1.468,35.116,22.309,-19.297,-3.615,0.203,-1.468,20.819,20.225,-11.417,-8.413,-0.191,1.354,16.963,PURSUIT,6.565
5.669,34.962,22.371,-19.374,-2.794,0.980,-1.210,34.962,22.371,-19.374,-3.794,-0.020,-1.210,20.335,20.195,-11.342,-8.404,-0.356,1.332,17.332,PURSUIT,6.263
5.723,34.807,22.419,-19.431,-2.933,0.810,-0.922,34.807,22.419,-19.431,-3.933,-0.190,-0.922,19.929,20.163,-11.280,-8.011,-0.486,1.249,17.629,PURSUIT,5.620
5.776,34.645,22.459,-19.472,-3.050,0.670,-0.601,34.645,22.459,-19.472,-4.050,-0.330,-0.601,19.450,20.115,-11.208,-8.467,-0.689,1.293,17.964,PURSUIT,5.795
5.830,34.477,22.491,-19.496,-3.170,0.535,-0.287,34.477,22.491,-19.496,-4.170,-0.465,-0.287,19.024,20.064,-11.145,-8.201,-0.818,1.228,18.225,PURSUIT,5.283
5.883,34.313,22.515,-19.504,-3.290,0.408,-0.003,34.313,22.515,-19.504,-4.290,-0.592,-0.003,18.576,20.002,-11.081,-8.350,-0.997,1.225,18.530,PURSUIT,5.188
